Keywords
Amput*
Bind*
Breast*
Burn*
Cicatri*
Circumcis*
Clitor*
Crani*
Deform*
Dent*
Ear*
Excis*
Feet
Foot
Foreskin*
Gash*
Genital*
Head*
Helix
Incis*
Infibulat*
Introcis*
Keloid*
Labia*
Labret*
Lip*
Lobe*
Mutilat*
Navel*
Nipple*
Nose*
Nostril*
Penis*
Pierc*
Prepuce*
Remov*
Scar*
Scrot*
Septum*
Slash*
Slice*
Stretch*
Subincis*
Superincis*
Tattoo*
Teeth
Testicle*
Toe*
Tooth
Uvul*
